"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C2","CC0603KRX7R9BB104","Top","FP-CC0603-DA-MFG","37.5000","14.7500","90","CAP CER 0.1UF 50V X7R 0603"
"U1","LMR33630ADDAR","Top","FP-DDA0008J-IPC_B","29.2500","12.7500","0","IC REG BUCK ADJUSTABLE 3A 8SOPWR"
"R3","0603WAF9100T5E","Top","Resistor_0603_910Ohm","32.3500","6.7500","360","910� �1% 0.1W �100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"R2","0603WAF2402T5E","Top","Resistor_0603_910Ohm","35.7500","6.7500","360","24k� �1% 0.1W �100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"R1","0603WAF1003T5E","Top","J1-0603","39.5000","5.5000","270","100k� �1% 0.1W �100ppm/? 0603 Chip Resistor - Surface Mount RoHS"
"L1","IHLP5050FDER100M01","Top","FP-IHLP-5050FD-FP_2_945x4-MFG","29.0000","25.2500","180","FIXED IND 10UH 10A 17.2 MOHM SMD"
"J2","Output","Top","PHOE-1729128-2_V","4.5000","28.0000","270","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk"
"J1","Input","Top","PHOE-1729128-2_V","4.5000","12.0000","270","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk"
"Cin","CL31B106KBHNNNE","Top","FP-CL31B106KBHNNNE-MFG","17.2500","12.7500","90","CAP CER 10UF 50V X7R 1206"
"Cin_2","1206B224K500NT","Top","Cap_1206_220nF","21.5000","12.7500","270","220nF �10% 50V X7R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C6","CL21A226MAQNNNE","Top","CAPC2013X140X45LL15T25","11.0000","19.7500","270","Multi-layer Ceramic Capacitor, 22 uF, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"C5","CL21A226MAQNNNE","Top","CAPC2013X140X45LL15T25","18.5000","19.7500","90","Multi-layer Ceramic Capacitor, 22 uF, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"C4","CL21A226MAQNNNE","Top","CAPC2013X140X45LL15T25","13.5000","19.7500","90","Multi-layer Ceramic Capacitor, 22 uF, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"C3","CL21A226MAQNNNE","Top","CAPC2013X140X45LL15T25","16.0000","19.7500","90","Multi-layer Ceramic Capacitor, 22 uF, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel"
"C1","CL31B105KBHNNNE","Top","FP-CL31-IPC_B","40.5000","11.2500","180","Cap Ceramic 1uF 50V X7R �10% SMD 1206 +125�C Embossed T/R"
